experiment_id	library_strategy	library_selection	taxon_id	scientific_name	collection_date	location	lat_lon
SRX28110027	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110026	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110025	WGS	RANDOM	527639	wastewater metagenome	2023-10-17	USA: Chicago	not collected
SRX28110024	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110023	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110022	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110021	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110020	WGS	RANDOM	527639	wastewater metagenome	2023-11-07	USA: Chicago	not collected
SRX28110019	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110018	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110017	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110016	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110015	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110014	WGS	RANDOM	527639	wastewater metagenome	2023-10-17	USA: Chicago	not collected
SRX28110013	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110012	WGS	RANDOM	527639	wastewater metagenome	2023-11-03	USA: Chicago	not collected
SRX28110011	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110010	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110009	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110008	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110007	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110006	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110005	WGS	RANDOM	527639	wastewater metagenome	2023-10-26	USA: Chicago	not collected
SRX28110004	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
SRX28110003	WGS	RANDOM	527639	wastewater metagenome	2023-10-17	USA: Chicago	not collected
SRX28110002	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
SRX28110001	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
SRX28110000	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
SRX28109999	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
SRX28109998	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
SRX28109997	WGS	RANDOM	527639	wastewater metagenome	2023-10-24	USA: Chicago	not collected
